Iteration,Response_Time_MS
1,861.3710409845226
2,789.1937919775955
3,816.4347499841824
4,814.0770840109326
5,747.6544580422342
6,788.9943339978345
7,694.7455420158803
8,711.1407920019701
9,691.6172080091201
10,731.9741660030559
11,675.0180829549208
12,824.1022499860264
13,699.0187079645693
14,693.9517499995418
15,800.7262920145877
16,749.4509170064703
17,954.1999580105767
18,755.5838749976829
19,756.803750002291
20,748.5865830094554
21,806.0185840004124
22,1159.4649589969777
23,831.7732500145212
24,896.2367500062101
25,929.3031659908593
26,754.3567920220084
27,787.9952910006978
28,857.3268749751151
29,830.0462499610148
30,797.5106670055538
31,864.4930000300519
32,861.8641250068322
33,760.3031669859774
34,816.9143329723738
35,743.3991669677198
36,745.5201250268146
37,779.8549580038525
38,742.4172079772688
39,739.2823750269599
40,707.412208954338
41,789.2264999682084
42,816.6095000342466
43,751.1163330054842
44,796.5861670090817
45,823.9788750070147
46,979.6644580201246
47,848.3271250152029
48,739.0893330448307
49,754.9352080095559
50,767.1878750552423
